Arrests for Offenses Described in Administrative Code 14-150(d),Unnamed: 1
Occuring in Transit Jurisdiction,
February 2017,
,
Section I - Transit Jurisdiction Arrests by Precinct,
001,Totals
ASSAULT 3 & RELATED OFFENSES,1
DISORDERLY CONDUCT,1
FORCIBLE TOUCHING,2
001 Total,4
005,
OFFENSES AGAINST THE PERSON,1
SEX CRIMES,1
005 Total,2
006,
ASSAULT 3 & RELATED OFFENSES,1
OFFENSES AGAINST THE PERSON,2
006 Total,3
007,
ASSAULT 3 & RELATED OFFENSES,1
007 Total,1
010,
ASSAULT 3 & RELATED OFFENSES,1
OFFENSES AGAINST THE PERSON,1
010 Total,2
013,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
OFFENSES AGAINST THE PERSON,4
013 Total,8
014,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,2
SEX CRIMES,1
014 Total,6
017,
SEX CRIMES,1
017 Total,1
018,
ASSAULT 3 & RELATED OFFENSES,2
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
018 Total,3
019,
ASSAULT 3 & RELATED OFFENSES,2
FELONY ASSAULT,1
019 Total,3
020,
FELONY ASSAULT,1
FORCIBLE TOUCHING,1
020 Total,2
024,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,1
SEX CRIMES,2
024 Total,4
025,
ASSAULT 3 & RELATED OFFENSES,1
FORCIBLE TOUCHING,1
025 Total,2
028,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
028 Total,1
032,
FELONY ASSAULT,1
032 Total,1
034,
OFFENSES AGAINST THE PERSON,1
034 Total,1
043,
ASSAULT 3 & RELATED OFFENSES,1
043 Total,1
044,
ASSAULT 3 & RELATED OFFENSES,1
044 Total,1
045,
OFFENSES AGAINST THE PERSON,1
045 Total,1
046,
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
046 Total,1
048,
ASSAULT 3 & RELATED OFFENSES,1
048 Total,1
052,
ASSAULT 3 & RELATED OFFENSES,1
052 Total,1
060,
ASSAULT 3 & RELATED OFFENSES,1
DISORDERLY CONDUCT,2
OFFENSES AGAINST THE PERSON,1
060 Total,4
068,
FELONY ASSAULT,1
068 Total,1
070,
FELONY ASSAULT,1
070 Total,1
071,
ASSAULT 3 & RELATED OFFENSES,1
DISORDERLY CONDUCT,1
071 Total,2
073,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
073 Total,2
075,
ASSAULT 3 & RELATED OFFENSES,1
075 Total,1
078,
ASSAULT 3 & RELATED OFFENSES,2
078 Total,2
084,
FELONY ASSAULT,1
OFFENSES AGAINST THE PERSON,3
084 Total,4
088,
OFFENSES AGAINST THE PERSON,1
088 Total,1
094,
ASSAULT 3 & RELATED OFFENSES,1
094 Total,1
103,
DISORDERLY CONDUCT,1
103 Total,1
106,
ASSAULT 3 & RELATED OFFENSES,1
106 Total,1
108,
OFFENSES AGAINST THE PERSON,1
108 Total,1
110,
ASSAULT 3 & RELATED OFFENSES,1
FELONY ASSAULT,1
OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
OFFENSES AGAINST THE PERSON,2
110 Total,5
112,
ASSAULT 3 & RELATED OFFENSES,1
112 Total,1
115,
DISORDERLY CONDUCT,1
OFFENSES AGAINST THE PERSON,1
115 Total,2
Grand Total,80
,
Source: OMAP/ORS,
Note: Precincts with zero arrest activity for the month are not included in this report.,
