month,total
2016-01,91
2016-02,77
2016-03,85
2016-04,85
2016-05,111
2016-06,98
2016-07,89
2016-08,77
2016-09,70
2016-10,84
2016-11,81
2016-12,76
2017-01,112
2017-02,66
2017-03,92
2017-04,40
2017-05,101
2017-06,65
2017-07,72
2017-08,78
2017-09,83
2017-10,104
2017-11,89
2017-12,81
2018-01,69
2018-02,80
2018-03,75
2018-04,73
2018-05,78
2018-06,94
2018-07,75
2018-08,72
2018-09,60
2018-10,90
2018-11,83
2018-12,69
2019-01,82
2019-02,85
2019-03,83
2019-04,96
2019-05,91
2019-06,69
2019-07,74
2019-08,70
2019-09,96
2019-10,91
2019-11,75
2019-12,71
2020-01,85
2020-02,81
2020-03,61
2020-04,41
2020-05,42
2020-06,20
2020-07,21
2020-08,41
2020-09,30
2020-10,38
2020-11,41
2020-12,52
2021-01,52
2021-02,44
2021-03,72
2021-04,62
2021-05,69
2021-06,73
2021-07,44
2021-08,76
2021-09,68
2021-10,72
2021-11,69
2021-12,74
2022-01,63
2022-02,78
2022-03,110
2022-04,67
2022-05,35
2022-06,70
2022-07,69
2022-08,77
2022-09,80
2022-10,40
2022-11,79
2022-12,90
2023-01,55
2023-02,76
2023-03,104
2023-04,118
2023-05,124
2023-06,91
2023-07,110
2023-08,91
2023-09,87
2023-10,138
2023-11,77
2023-12,88
2024-01,88
2024-02,114
